ori,state_fips,state_abbr,agency_name_std,leaic_lg_name,est_total_2024,match_status,aiannh_codes,aiannh_names,comptyp_included,footprint_pop20_in_state,n_blocks_in_state,match_basis,reviewer_note
OKDI05100,40,OK,ANADARKO AGENCY,CADDO INDIAN TRIBE,31.0,matched_multi,5540;5720;5955,Caddo-Wichita-Delaware OTSA;Kiowa-Comanche-Apache-Fort Sill Apache OTSA;Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,R,212443,17876,"OTSA; BIA Anadarko Agency serves the Kiowa, Comanche, Apache, Fort Sill Apache, Caddo, Wichita and Delaware tribes, whose Census areas are exactly Caddo-Wichita-Delaware (5540), Kiowa-Comanche-Apache-Fort Sill Apache (5720) and their joint-use OTSA (5955)","Agency tribe list from https://www.bia.gov/regional-offices/southern-plains/anadarko-agency - all seven served tribes fall inside those three OTSAs, so the agency footprint is well defined even though leaic_lg_name names only the Caddo. OVERLAP: 5720 is also assigned to OKDI15000 (Comanche Nation) - do not sum. Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
OK0632100,40,OK,KICKAPOO TRIBAL,KICKAPOO TRIBE OF OKLAHOMA,22.0,matched,5700,Kickapoo OTSA,R,26259,961,OTSA; leaic_lg_name 'KICKAPOO TRIBE OF OKLAHOMA' == AIANNH NAME 'Kickapoo',"Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
FL0063400,12,FL,SEMINOLE TRIBAL,SEMINOLE INDIAN TRIBE,751.0,matched_multi,0225;0360;0690;1260;1475;1555;3665;4130,Big Cypress Reservation;Brighton Reservation;Coconut Creek Trust Land;Fort Pierce Reservation;Hollywood Reservation;Immokalee Reservation;Seminole (FL) Trust Land;Tampa Reservation,R;T,2352,258,"leaic_lg_name 'SEMINOLE INDIAN TRIBE' -> the eight Seminole Tribe of Florida AIANNH areas (Big Cypress, Brighton, Coconut Creek TL, Fort Pierce, Hollywood, Immokalee, Seminole (FL) TL, Tampa)","The Seminole Tribe of Florida has no single AIANNH area: Census codes each reservation separately. Reservation list confirmed at https://www.bia.gov/tribe/seminole-tribe-florida-previously-listed-seminole-tribe-florida-dania-big-cypress-brighton and https://www.semtribe.com/ (Hollywood, Big Cypress, Brighton, Immokalee, Fort Pierce, Tampa). Miccosukee (2240) is a separate tribe and is excluded. A single-code match on 'Seminole (FL)' (3665) - what the naive join produced - would have given a 0-population trust-land sliver of 1 block."
CA0151400,06,CA,STALLION SPRINGS,STALLION SPRINGS CMTY SERV DT,15.0,not_tribal,,,,0,0,"Stallion Springs Community Services District PD, Kern County CA",FALSE POSITIVE: California community-services district. Weak candidates shared only the generic token 'SPRINGS'.
OK0601100,40,OK,IOWA TRIBAL,IOWA TRIBE OF OKLAHOMA,14.0,matched,5670,Iowa OTSA,R,6602,596,OTSA; leaic_lg_name 'IOWA TRIBE OF OKLAHOMA' == AIANNH NAME 'Iowa',"Same footprint as OKDIT0800. Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
CA0151500,06,CA,BEAR VALLEY,BEAR VALLEY COMMUNITY SERVICES DISTRICT,23.0,not_tribal,,,,0,0,"Bear Valley Community Services District PD, Kern County CA",FALSE POSITIVE: California community-services district. Weak candidates shared only the generic token 'VALLEY'.
NMDI02300,35,NM,JEMEZ PUEBLO,PUEBLO OF JEMEZ,8.0,matched,1685,Jemez Pueblo,R,1991,128,leaic_lg_name 'PUEBLO OF JEMEZ' == AIANNH NAME 'Jemez',
OK0632200,40,OK,CITIZEN POTAWATOMI NATIO,CITIZEN BAND POTAWATOMI NATION,119.0,matched,5600,Citizen Potawatomi Nation-Absentee Shawnee OTSA,R,126987,3721,OTSA; leaic_lg_name 'CITIZEN BAND POTAWATOMI NATION' == AIANNH NAME 'Citizen Potawatomi Nation-Absentee Shawnee',"This OTSA is a single joint area covering both the Citizen Potawatomi Nation and the Absentee-Shawnee Tribe, so it is necessarily shared with OK0632300 - do not sum. Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
NYDI02200,36,NY,ST REGIS TRIBAL,ST REGIS BAND OF MOHAWK INDIANS,17.0,matched,3320,St. Regis Mohawk Reservation,R,3663,31,leaic_lg_name 'ST REGIS BAND OF MOHAWK INDIANS' == AIANNH NAME 'St. Regis Mohawk',Same footprint as NY0162500.
OKDI06000,40,OK,MIAMI AGENCY,MIAMI TRIBE,38.0,ambiguous,,,,0,0,BIA Miami Agency is a multi-tribe BIA agency serving ten northeastern Oklahoma tribes; leaic_lg_name names only 'MIAMI TRIBE',"AMBIGUOUS: BIA Miami Agency serves the Delaware, Eastern Shawnee, Miami, Modoc, Ottawa, Peoria, Quapaw, Seneca-Cayuga, Shawnee and Wyandotte tribes, and BIA law enforcement specifically covers the Modoc, Shawnee, Seneca-Cayuga, Ottawa and Peoria (https://www.bia.gov/regional-offices/eastern-oklahoma/miami-agency). Candidate OTSAs: Miami (5730), Modoc (5740), Ottawa (5770), Peoria (5795), Quapaw (5810), Seneca-Cayuga (5835), Wyandotte (5890), Eastern Shawnee (5640), Miami/Peoria joint (5970). Five of these already have their own tribal-PD ORI in this roster (OKDI00400, OKDI00800, OKDI14000, OK0581400). Cannot pick from the data."
WADI06200,53,WA,PUYALLUP TRIBAL,PUYALLUP TRIBE,527.0,matched,3000,Puyallup Reservation,R;T,54416,860,leaic_lg_name 'PUYALLUP TRIBE' == AIANNH NAME 'Puyallup',"OVERSTATEMENT WARNING: the Puyallup Reservation (pop 54,416) encompasses most of Tacoma and is overwhelmingly non-tribal fee land; the Puyallup Tribal PD does not have general jurisdiction over that whole population. This is the largest footprint in this table and should not be used as a service population without adjustment."
WADI05600,53,WA,MAKAH TRIBAL,MAKAH INDIAN TRIBE,2.0,matched,2085,Makah Indian Reservation,R,1692,113,leaic_lg_name 'MAKAH INDIAN TRIBE' == AIANNH NAME 'Makah',
AZ0140700,04,AZ,COCOPAH TRIBAL,COCOPAH TRIBE,29.0,matched,0695,Cocopah Reservation,R,857,62,leaic_lg_name 'COCOPAH TRIBE' == AIANNH NAME 'Cocopah',
WADI06500,53,WA,UPPER SKAGIT TRIBAL,UPPER SKAGIT TRIBE,23.0,matched,4455,Upper Skagit Reservation,R;T,266,11,leaic_lg_name 'UPPER SKAGIT TRIBE' == AIANNH NAME 'Upper Skagit',
WADI01100,53,WA,SKOKOMISH TRIBAL,SKOKOMISH TRIBAL,18.0,matched,3825,Skokomish Reservation,R;T,724,39,leaic_lg_name 'SKOKOMISH TRIBAL' == AIANNH NAME 'Skokomish',
ORDI00400,41,OR,SILETZ TRIBAL,CONFEDERATED TRIBES OF THE SILETZ RESERVATION,2.0,matched,3795,Siletz Reservation,R;T,685,86,leaic_lg_name 'CONFEDERATED TRIBES OF THE SILETZ RESERVATION' == AIANNH NAME 'Siletz',COMPTYP FLAG: including off-reservation trust land (T) raises the footprint from 361 (R only) to 685 (+90%).
WADI01300,53,WA,STILLAGUAMISH TRIBAL,STILLAGUAMISH TRIBE,31.0,matched,4000,Stillaguamish Reservation,R;T,16,27,leaic_lg_name 'STILLAGUAMISH TRIBE' == AIANNH NAME 'Stillaguamish',COMPTYP FLAG: including off-reservation trust land (T) raises the footprint from 2 (R only) to 16 (+700%).
OK0361900,40,OK,TONKAWA TRIBAL,TONKAWA TRIBE,4.0,matched,5860,Tonkawa OTSA,R,3841,467,OTSA; leaic_lg_name 'TONKAWA TRIBE' == AIANNH NAME 'Tonkawa',"Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
NB0870400,31,NE,WINNEBAGO TRIBAL,WINNEBAGO TRIBE OF NEBRASKA,1.2,matched,4625,Winnebago Reservation,R;T,2737,397,LEAIC NAME 'WINNEBAGO BIA AGENCY' + leaic_lg_name 'WINNEBAGO TRIBE OF NEBRASKA' == AIANNH NAME 'Winnebago',Winnebago Reservation spans NE/IA; NE portion only.
WADI05900,53,WA,LUMMI TRIBAL,LUMMI INDIANS,113.0,matched,2070,Lummi Reservation,R,5748,149,leaic_lg_name 'LUMMI INDIANS' == AIANNH NAME 'Lummi',Same footprint as WA0371000.
OKDI00400,40,OK,MIAMI TRIBAL,MIAMI TRIBE,14.0,matched,5730,Miami OTSA,R,257,23,OTSA; leaic_lg_name 'MIAMI TRIBE' == AIANNH NAME 'Miami',"Joint-use OTSA 5970 'Miami/Peoria' (246 blocks, pop 4,029) excluded to avoid double counting with the Peoria Tribe. Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
AZDI06900,04,AZ,YAVAPAI APACHE NATION,YAVAPAI APACHE TRIBE,12.0,matched,4708,Yavapai-Apache Nation Reservation,R;T,1234,34,leaic_lg_name 'YAVAPAI APACHE TRIBE' == AIANNH NAME 'Yavapai-Apache Nation',"COMPTYP FLAG: including off-reservation trust land (T) raises the footprint from 657 (R only) to 1,234 (+88%)."
MIDI05000,26,MI,KEWEENAW BAY TRIBAL,KEWEENAW BAY INDIAN COMMUNITY OF MICHIGAN,1.6109871816868675,matched,1880,L'Anse Reservation,R;T,3396,231,"leaic_lg_name 'KEWEENAW BAY INDIAN COMMUNITY OF MICHIGAN' -> L'Anse Reservation (AIANNH NAME ""L'Anse""); tribe name and Census area name differ",Name mismatch by design: the Keweenaw Bay Indian Community's reservation is the L'Anse Reservation (Baraga/Marquette Cos MI). The naive join matched only the generic token 'BAY'.
AZDI02300,04,AZ,YAVAPAI PRESCOTT TRIBAL,YAVAPAI-PRESCOTT TRIBE,32.0,matched,4710,Yavapai-Prescott Reservation,R,200,16,leaic_lg_name 'YAVAPAI-PRESCOTT TRIBE' == AIANNH NAME 'Yavapai-Prescott',
NVDI00800,32,NV,FALLON TRIBAL,PAIUTE-SHOSHONE TRIBE OF THE FALLON RESERVATION AN,6.0,matched_multi,1070;1075,Fallon Paiute-Shoshone Colony;Fallon Paiute-Shoshone Reservation,R;T,770,44,leaic_lg_name 'PAIUTE-SHOSHONE TRIBE OF THE FALLON RESERVATION AN[D COLONY]' -> both AIANNH areas named 'Fallon Paiute-Shoshone': 1070 (Colony) and 1075 (Reservation),"Census splits the Fallon Paiute-Shoshone Tribe into two AIANNHCEs sharing the same NAME - 1070 'Fallon Paiute-Shoshone Colony' and 1075 'Fallon Paiute-Shoshone Reservation'. The LEAIC name explicitly covers both ('Reservation and Colony'), so both are included."
OR0301200,41,OR,UMATILLA TRIBAL,CONFEDERATED TRIBES OF THE UMATILLA INDIAN RESERVA,11.0,matched,4405,Umatilla Reservation,R;T,2861,256,leaic_lg_name 'CONFEDERATED TRIBES OF THE UMATILLA INDIAN RESERVA[TION]' == AIANNH NAME 'Umatilla',Umatilla also has 1 trust-land block in WA (pop 0); OR portion only.
NVDI06300,32,NV,WESTERN SHOSHONE TRIBAL,TE-MOAK TRIBE OF WESTERN SHOSHONE,12.0,matched,1005,Elko Colony,R,723,16,"LEAIC NAME 'WESTERN SHOSHONE (ELKO BAND) TRIBAL DEPARTMENT OF [POLICE]', COUNTYNAME=ELKO, ADDRESS_CITY=ELKO == AIANNH NAME 'Elko'",agency_name_std 'WESTERN SHOSHONE TRIBAL' alone is not resolvable (the Te-Moak Tribe of Western Shoshone has four bands); the LEAIC agency name pins the Elko Band. Same footprint as NVDI06700.
OKDI15000,40,OK,COMANCHE NATION,COMANCHE NATION INDIAN TRIBE,48.0,matched,5720,Kiowa-Comanche-Apache-Fort Sill Apache OTSA,R,187646,15472,OTSA; leaic_lg_name 'COMANCHE NATION INDIAN TRIBE' -> AIANNH NAME 'Kiowa-Comanche-Apache-Fort Sill Apache',"The Comanche Nation has no OTSA of its own: Census codes a single joint Kiowa-Comanche-Apache-Fort Sill Apache OTSA, so this footprint is inherently shared with three other tribes and with OKDI05100 (BIA Anadarko Agency) - do not sum. Joint-use OTSA 5955 (836 blocks, pop 9,690) excluded. Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
OK0632300,40,OK,ABSENTEE SHAWNEE TRIBAL,ABSENTEE-SHAWNEE TRIBE OF OKLAHOMA,16.0,matched,5600,Citizen Potawatomi Nation-Absentee Shawnee OTSA,R,126987,3721,OTSA; leaic_lg_name 'ABSENTEE-SHAWNEE TRIBE OF OKLAHOMA' == AIANNH NAME 'Citizen Potawatomi Nation-Absentee Shawnee',"Shared joint OTSA with the Citizen Potawatomi Nation (OK0632200) - do not sum. Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
AZDI06500,04,AZ,AK CHIN TRIBAL,AK CHIN INDIAN COMMUNITY OF PAPAGO INDIANS,29.0,matched,2130,Maricopa (Ak Chin) Indian Reservation,R;T,1070,82,leaic_lg_name 'AK CHIN INDIAN COMMUNITY OF PAPAGO INDIANS' == AIANNH NAME 'Maricopa (Ak Chin)',Census names the area 'Maricopa (Ak Chin) Reservation'; only AZ area containing the 'Ak Chin' token.
OK0362000,40,OK,PONCA TRIBAL,PONCA TRIBE OF OKLAHOMA,9.0,matched,5800,Ponca OTSA,R,1916,274,OTSA; leaic_lg_name 'PONCA TRIBE OF OKLAHOMA' == AIANNH NAME 'Ponca',"Joint-use OTSA 5950 'Kaw/Ponca' (pop 26,146) excluded to avoid double counting with OK0361800. Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
AZDI06600,04,AZ,PASCUA YAQUI TRIBAL,PASCUA YAQUI TRIBE,157.0,matched,2680,Pascua Pueblo Yaqui Reservation,R;T,3466,61,leaic_lg_name 'PASCUA YAQUI TRIBE' == AIANNH NAME 'Pascua Pueblo Yaqui',
NVDI00300,32,NV,RENO SPARKS INDIAN COLNY,RENO-SPARKS INDIAN COLONY,68.0,matched,3130,Reno-Sparks Indian Colony,R;T,944,53,leaic_lg_name 'RENO-SPARKS INDIAN COLONY' == AIANNH NAME 'Reno-Sparks',
NMDI02200,35,NM,POJOAQUE TRIBAL,PUEBLO OF POJOAQUE,21.0,matched,2990,Pueblo of Pojoaque,R;T,3536,125,leaic_lg_name 'PUEBLO OF POJOAQUE' == AIANNH NAME 'Pojoaque',Same footprint as NM0260300.
OR0061000,41,OR,COQUILLE TRIBAL,COQUILLE INDIAN TRIBE,3.0,matched,0775,Coquille Reservation,R,343,41,leaic_lg_name 'COQUILLE INDIAN TRIBE' == AIANNH NAME 'Coquille',
AZDI08100,04,AZ,TONTO APACHE TRIBAL,TONTO APACHE INDIANS,3.0,matched,4235,Tonto Apache Reservation,R;T,130,5,leaic_lg_name 'TONTO APACHE INDIANS' == AIANNH NAME 'Tonto Apache',
NDDI01900,38,ND,THREE AFFILIATED TRIBES,THREE AFFILIATED TRIBES OF THE FORT BERTHOLD RESER,87.0,matched,1160,Fort Berthold Reservation,R,8350,1071,leaic_lg_name 'THREE AFFILIATED TRIBES OF THE FORT BERTHOLD RESER[VATION]' == AIANNH NAME 'Fort Berthold',
SD0200100,46,SD,CHEYENNE RIVER TRIBAL,CHEYENNE RIVER SIOUX TRIBE,99.0,matched,0605,Cheyenne River Reservation,R;T,7639,688,leaic_lg_name 'CHEYENNE RIVER SIOUX TRIBE' == AIANNH NAME 'Cheyenne River',
NDDI00300,38,ND,STANDING ROCK AGENCY,STANDING ROCK SIOUX TRIBE,77.0,matched,3970,Standing Rock Reservation,R,3898,448,leaic_lg_name 'STANDING ROCK SIOUX TRIBE' == AIANNH NAME 'Standing Rock'; LEAIC ADDRESS_CITY=FORT YATES,"Standing Rock Reservation spans ND/SD; ND portion only (pop 3,898 of 7,819 reservation-wide)."
NVDI05000,32,NV,WESTERN NEVADA AGENCY,WASHOE TRIBE,5.0,ambiguous,,,,0,0,"BIA Western Nevada Agency (Stewart, Carson City) is a multi-tribe BIA agency; leaic_lg_name names only 'WASHOE TRIBE'","AMBIGUOUS: BIA Western Nevada Agency serves 16 tribes including Washoe, Fallon, Fort McDermitt, Lovelock, Pyramid Lake, Reno-Sparks, Summit Lake, Walker River, Winnemucca, Yerington and Yomba (https://www.bia.gov/regional-offices/western/western-nevada-agency). Most already have their own tribal-PD ORI in this roster. If a supervisor accepts the LG_NAME as decisive the Washoe footprint would be 0510;0940;3980;4560 - the same footprint already assigned to NV0031000."
NMDI05000,35,NM,NORTHERN PUEBLOS AGENCY,PUEBLO OF POJOAQUE,7.0,ambiguous,,,,0,0,BIA Northern Pueblos Agency (Santa Fe/Espanola) is a multi-pueblo BIA agency; leaic_lg_name names only 'PUEBLO OF POJOAQUE',"AMBIGUOUS: the BIA Northern Pueblos Agency serves eight northern pueblos - candidates Nambe (2400), Picuris (2785), Pojoaque (2990), San Ildefonso (3415), Ohkay Owingeh (2510), Santa Clara (3495), Taos (4140), Tesuque (4170). Six of these already have their own tribal-PD ORI in this roster, so assigning the agency any of them would double-count. LEAIC's single LG_NAME is not sufficient evidence to pick one."
FL0133900,12,FL,MICCOSUKEE TRIBAL,MICCOSUKEE INDIAN TRIBE,32.0,matched,2240,Miccosukee Reservation,R;T,535,23,leaic_lg_name 'MICCOSUKEE INDIAN TRIBE' == AIANNH NAME 'Miccosukee',
OKDI00800,40,OK,QUAPAW TRIBAL,_Undetermined,205.0,matched,5810,Quapaw OTSA,R,4810,539,OTSA; agency_name_std 'QUAPAW TRIBAL' == AIANNH NAME 'Quapaw',"Not in LEAIC (leaic_lg_name '_Undetermined'); matched on agency name. Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
WIDI00300,55,WI,LAC DU FLAMBEAU TRIBAL,,302.0,matched,1825,Lac du Flambeau Reservation,R,3518,256,agency_name_std 'LAC DU FLAMBEAU TRIBAL' == AIANNH NAME 'Lac du Flambeau',Not in LEAIC. Same footprint as WI0640100.
NM0260700,35,NM,TESUQUE PUEBLO,PUEBLO OF TESUQUE,4.0,matched,4170,Tesuque Pueblo,R;T,1173,47,leaic_lg_name 'PUEBLO OF TESUQUE' == AIANNH NAME 'Tesuque',
NM0330400,35,NM,ACOMA TRIBAL,PUEBLO OF ACOMA,89.0,matched,0010,Acoma Pueblo,R;T,3230,337,leaic_lg_name 'PUEBLO OF ACOMA' == AIANNH NAME 'Acoma',Same footprint as NM0320600.
WADI06800,53,WA,TULALIP TRIBAL,TULALIP INDIAN COMMUNITY,291.6,matched,4290,Tulalip Reservation,R;T,10969,372,leaic_lg_name 'TULALIP INDIAN COMMUNITY' == AIANNH NAME 'Tulalip',
CTDI00300,09,CT,MOHEGAN TRIBAL,MOHEGAN TRIBE,119.0,matched,2320,Mohegan Reservation,R,212,16,leaic_lg_name 'MOHEGAN TRIBE' == AIANNH NAME 'Mohegan',
AZ0078900,04,AZ,SALT RIVER TRIBAL,SALT RIVER PIMA-MARICOPA INDIAN COMMUNITY COUNCIL,6.0,matched,3340,Salt River Reservation,R,6321,354,leaic_lg_name 'SALT RIVER PIMA-MARICOPA INDIAN COMMUNITY COUNCIL' == AIANNH NAME 'Salt River',
NMDI07000,35,NM,MESCALERO TRIBAL,MESCALERO APACHE TRIBE,12.0,matched,2205,Mescalero Reservation,R,4022,189,agency_name_std 'MESCALERO TRIBAL' + leaic_lg_name 'MESCALERO APACHE TRIBE' == AIANNH NAME 'Mescalero',"LEAIC's agency NAME for this ORI is the generic 'BIA OFC OF LAW ENFORCEMENT SVCS' with an Albuquerque address, but both name sources that identify a tribe say Mescalero. Same footprint as NM0190400."
MIDI00900,26,MI,POKAGON TRIBAL,POKAGON TRIBE,167.0,matched,2890,Pokagon Reservation,R;T,183,30,leaic_lg_name 'POKAGON TRIBE' == AIANNH NAME 'Pokagon',COMPTYP FLAG: including off-reservation trust land (T) raises the footprint from 6 (R only) to 183 (+2950%).
ORDI01400,41,OR,GRAND RONDE TRIBAL,,68.0,matched,1365,Grand Ronde Community,R;T,604,44,agency_name_std 'GRAND RONDE TRIBAL' == AIANNH NAME 'Grand Ronde',Not in LEAIC (is_tribal_leaic False); matched on agency name.
WADI06100,53,WA,KALISPEL TRIBAL,KALISPEL TRIBE,121.0,matched,1735,Kalispel Reservation,R;T,753,52,leaic_lg_name 'KALISPEL TRIBE' == AIANNH NAME 'Kalispel',COMPTYP FLAG: including off-reservation trust land (T) raises the footprint from 223 (R only) to 753 (+238%).
MIDI05300,26,MI,SAGINAW CHIPPEWA TRIBAL,SAGINAW CHIPPEWA INDIAN TRIBE OF MIGHIGAN,134.0,matched,1610,Isabella Reservation,R;T,25534,1006,"leaic_lg_name 'SAGINAW CHIPPEWA INDIAN TRIBE OF MI[CH]IGAN' + LEAIC COUNTYNAME=ISABELLA, ADDRESS_CITY=MOUNT PLEASANT -> AIANNH NAME 'Isabella'","Name mismatch by design: the Saginaw Chippewa Indian Tribe's reservation is the Isabella Reservation, Mount Pleasant MI (see https://www.michigan.gov/government/branches-of-government/tribal-government). Zero token overlap, so the programmatic join produced no candidate."
MNDI02400,27,MN,MILLE LACS TRIBAL,MINNESOTA CHIPPEWA - FOND DU LAC,72.0,matched,2270,Mille Lacs Reservation,R;T,4767,375,agency_name_std 'MILLE LACS TRIBAL' == AIANNH NAME 'Mille Lacs',"leaic_lg_name is the generic 'MINNESOTA CHIPPEWA - FOND DU LAC' parent label, not this band. MCT-wide trust land 2285 excluded."
WIDI01100,55,WI,LAC COURTE OREILLES TRIB,LAC COURTE OREILLES BAND OF LAKE SUPERIOR CHIPPEWA,62.0,matched,1815,Lac Courte Oreilles Reservation,R;T,2968,379,leaic_lg_name 'LAC COURTE OREILLES BAND OF LAKE SUPERIOR CHIPPEWA' == AIANNH NAME 'Lac Courte Oreilles',
MIDI03000,26,MI,GUN LAKE TRIBAL,_Undetermined,96.0,matched,2150,Match-e-be-nash-she-wish Band of Pottawatomi Reservation,R;T,18,12,"agency_name_std 'GUN LAKE TRIBAL' -> AIANNH NAME 'Match-e-be-nash-she-wish Band of Pottawatomi'; LEAIC COUNTYNAME=ALLEGAN, ADDRESS_CITY=WAYLAND","Name mismatch by design: the Gun Lake Tribe's formal name is the Match-E-Be-Nash-She-Wish Band of Pottawatomi Indians, located in Allegan County near Wayland (https://gunlaketribe-nsn.gov/about/, https://www.itcmi.org/home/tribes/match-e-be-nash-she-wish-band-of-pottawatomi-indians/). Zero token overlap, so the programmatic join produced no candidate. COMPTYP FLAG: the reservation (R) component has 2020 population 0 in this state (2 blocks); the entire 18-person footprint comes from off-reservation trust land (T)."
NV0022000,32,NV,LAS VEGAS PAIUTE TRIBAL,LAS VEGAS TRIBE OF PAIUTE INDIANS,6.0,matched,1915,Las Vegas Indian Colony,R,106,8,leaic_lg_name 'LAS VEGAS TRIBE OF PAIUTE INDIANS' == AIANNH NAME 'Las Vegas',"Census area name is 'Las Vegas Reservation' (the Las Vegas Paiute colony), not the city."
ORDI01500,41,OR,COW CREEK TRIBAL,,39.0,matched,0815,Cow Creek Reservation,R;T,229,232,agency_name_std 'COW CREEK TRIBAL' == AIANNH NAME 'Cow Creek',Not in LEAIC; matched on agency name. COMPTYP FLAG: including off-reservation trust land (T) raises the footprint from 177 (R only) to 229 (+29%).
ME0151100,23,ME,PASSAMAQUODDY PLSNT PT T,PASSAMAQUODDY TRIBE - INDIAN TOWNSHIP,11.0,matched,2850,Pleasant Point Reservation,R,692,26,agency_name_std 'PASSAMAQUODDY PLSNT PT T[RIBAL]' == AIANNH NAME 'Pleasant Point',leaic_lg_name says 'INDIAN TOWNSHIP' but the agency name says Pleasant Point (Sipayik); agency name wins because Census codes the two reservations separately. Passamaquoddy tribe-wide trust land (2695) excluded - see MEDI00300.
MI5596800,26,MI,HANNAHVILLE TRIBAL,HANNAHVILLE INDIAN COMMUNITY OF WISCONSIN POTAWATO,81.0,matched,1410,Hannahville Indian Community,R;T,720,52,leaic_lg_name 'HANNAHVILLE INDIAN COMMUNITY OF WISCONSIN POTAWATO[MI]' == AIANNH NAME 'Hannahville',COMPTYP FLAG: including off-reservation trust land (T) raises the footprint from 325 (R only) to 720 (+122%).
MIDI07000,26,MI,NOTTAWASEPPI HURON PTWTM,NOTTAWASEPPI HURON POTAWATOMI,80.0,matched,1550,Huron Potawatomi Reservation,R;T,62,10,leaic_lg_name 'NOTTAWASEPPI HURON POTAWATOMI' == AIANNH NAME 'Huron Potawatomi',
WADI01000,53,WA,MUCKLESHOOT TRIBAL,MUCKLESHOOT TRIBE,51.0,matched,2375,Muckleshoot Reservation,R;T,4391,89,leaic_lg_name 'MUCKLESHOOT TRIBE' == AIANNH NAME 'Muckleshoot',
IADIT0000,19,IA,MESKWAKI NATION,,20.571428571428573,matched,3280,Sac and Fox/Meskwaki Settlement,R;T,1142,52,agency_name_std 'MESKWAKI NATION' == AIANNH NAME 'Sac and Fox/Meskwaki',Census area name is 'Sac and Fox/Meskwaki Settlement'; the Meskwaki Nation is the Sac and Fox Tribe of the Mississippi in Iowa. Only AIANNH area in IA carrying 'Meskwaki'.
OKDIT1500,40,OK,OTOE MISSOURIA TRIBAL,,24.0,matched,5760,Otoe-Missouria OTSA,R,810,242,OTSA; agency_name_std 'OTOE MISSOURIA TRIBAL' == AIANNH NAME 'Otoe-Missouria',"Same footprint as OKDI05500. Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
WADI00800,53,WA,NISQUALLY TRIBAL,NISQUALLY INDIAN COMMUNITY,42.54545454545454,matched,2460,Nisqually Reservation,R,639,51,leaic_lg_name 'NISQUALLY INDIAN COMMUNITY' == AIANNH NAME 'Nisqually',
WADI05100,53,WA,SPOKANE AGENCY,SPOKANE TRIBE,41.0,matched,3940,Spokane Reservation,R;T,2541,171,"LEAIC NAME 'SPOKANE TRIBAL POLICE DEPARTMENT' + leaic_lg_name 'SPOKANE TRIBE', ADDRESS_CITY=WELLPINIT == AIANNH NAME 'Spokane'","agency_name_std says 'SPOKANE AGENCY' but LEAIC's own agency name is 'Spokane Tribal Police Department' at Wellpinit, the Spokane Reservation seat - a single-reservation link."
WIDI01200,55,WI,ST CROIX TRIBAL,ST CROIX BAND OF LAKE SUPERIOR CHIPPEWA,29.0,matched,3305,St. Croix Reservation,R;T,765,41,leaic_lg_name 'ST CROIX BAND OF LAKE SUPERIOR CHIPPEWA' == AIANNH NAME 'St. Croix',
MNDI07000,27,MN,FOND DU LAC TRIBAL,,27.0,matched,1125,Fond du Lac Reservation,R;T,4180,218,agency_name_std 'FOND DU LAC TRIBAL' == AIANNH NAME 'Fond du Lac',MCT-wide trust land 2285 excluded.
